#,claim,#_sku_in_the_market,evaluation
1,Anti-hair fall / reduces hair loss,150+,🔴 Saturated
2,Strengthens hair roots,120+,🔴 Saturated
3,Promotes hair growth,90+,🔴 Saturated
4,Thickening / increases hair density,70+,🟡 Medium
5,Scalp health / scalp care,60+,🟡 Medium
6,Hair growth + botanical actives,40+,🟡 Medium
7,Hair growth + peptides,25+,🟡 Medium
8,Hair growth + scalp barrier repair,8,🟢 White space
9,Hair growth + microbiome / postbiotic,5,🟢 White space
10,Hair growth + clinical / follicle vitality claim,6,🟢 White space
10,Hair growth + clinical / follicle vitality claim,6,🟢 White space
